Id,Tags,dataset,estimator,embedding_dim,batch_size,learning_rate,model_seed,n_epochs,prec_train,prec_valid,prec_test,mrr_train,mrr_valid,mrr_test,recall_train,recall_valid,recall_test
LDAEXP-235,"[""success""]",goodbooks,SNMFEst,64.0,128.0,0.001,2764130162.0,76.0,0.5695979335130279,0.0700286879057828,0.0701560701277623,0.0305315879409711,0.0613724584923588,0.061561265273886,0.0597898200730904,0.1279970134025548,0.1285850515619668
LDAEXP-258,"[""success""]",goodbooks,SNMFEst,64.0,128.0,0.001,4203564202.0,76.0,0.569219826295298,0.0698003170768534,0.0699277208477231,0.0305525907145943,0.0605286614860042,0.0608273938567596,0.0597987215166757,0.1275286568490232,0.1278524806891726
LDAEXP-251,"[""success""]",goodbooks,SNMFEst,64.0,128.0,0.001,3128845410.0,75.0,0.5703934561245882,0.0699154461724294,0.0698975259016022,0.030573749290199,0.0611964957491595,0.0611176278917391,0.0598868978059829,0.1280407211750664,0.1281188161750155
LDAEXP-261,"[""success""]",movielens-1m,SNMFEst,64.0,128.0,0.001,3128845410.0,99.0,0.5750331125827814,0.0700760927269509,0.0697260761294912,0.0428519194203344,0.0726943589465528,0.0710132663819745,0.090421848013242,0.1528057124562414,0.1524071311363853
LDAEXP-246,"[""success""]",goodbooks,SNMFEst,64.0,64.0,0.001,2764130162.0,74.0,0.5682614555256064,0.0693379133323267,0.0694238426843307,0.030438472369195,0.0604882119976488,0.0602815925997071,0.0596505676880049,0.1267963057433768,0.1269227802163094
LDAEXP-241,"[""success""]",goodbooks,SNMFEst,64.0,64.0,0.001,3128845410.0,74.0,0.5680611710092842,0.0691680507322965,0.0693257091094378,0.0304250898978812,0.0603264060204077,0.0603157082272935,0.0595830403852124,0.1264441212128527,0.1268264606458622
LDAEXP-249,"[""success""]",movielens-1m,SNMFEst,64.0,128.0,0.001,2764130162.0,99.0,0.573476821192053,0.0712263316227216,0.0690501600853788,0.0431015605121197,0.0727684333054348,0.0704978476833566,0.0905049999521901,0.1549742480685687,0.1511673490034704
LDAEXP-232,"[""success""]",goodbooks,MFEst,64.0,128.0,0.001,3128845410.0,57.0,0.5700958370769691,0.0691303034878454,0.0688369284191058,0.0305347569992332,0.0602625702827407,0.0602607317428002,0.0598774411875528,0.1265442844522905,0.1262542826114391
LDAEXP-253,"[""success""]",goodbooks,SNMFEst,64.0,64.0,0.001,4203564202.0,70.0,0.5674809074573225,0.0686093915144194,0.0687614410538036,0.0303963512457329,0.0601993614578613,0.0603573329563642,0.0595923347667871,0.1256255268327031,0.1259763487297991
LDAEXP-247,"[""success""]",goodbooks,MFEst,64.0,128.0,0.001,2764130162.0,56.0,0.5695623689727464,0.0687415068699984,0.0687576666855385,0.0305492741481567,0.059580988602365,0.0603733113710283,0.0598244692690756,0.1254984351958965,0.126289184842557
LDAEXP-245,"[""success""]",movielens-1m,SNMFEst,64.0,64.0,0.001,2764130162.0,99.0,0.583841059602649,0.0705538842682711,0.0687477765919601,0.0439743755946667,0.0719218472501953,0.0715964297158137,0.0925994771426544,0.1555522275166336,0.1514973156781295
LDAEXP-254,"[""success""]",movielens-1m,SNMFEst,64.0,64.0,0.001,3128845410.0,99.0,0.5839900662251656,0.0696513891346664,0.0684631803628601,0.0437116836331629,0.0719097548146425,0.0709996164867343,0.0923425704192068,0.1525160163506797,0.1506702972031642
